1534753214.175831 server started (53732): version 2.7, socket /private/tmp/tmux-501/default, protocol 8
1534753214.175884 on Darwin 17.7.0 Darwin Kernel Version 17.7.0: Fri Jul  6 19:54:51 PDT 2018; root:xnu-4570.71.3~2/RELEASE_X86_64; libevent 2.1.8-stable (select)
1534753214.177529 add peer 0x7f8a6b810a00: 8 (0x7f8a6b810000)
1534753214.177566 new client 0x7f8a6b810000
1534753214.177642 loading /usr/local/etc/tmux.conf
1534753214.177662 loading /Users/boomfaya/.tmux.conf
1534753214.177679 server loop enter
1534753214.177746 peer 0x7f8a6b810a00 message 100
1534753214.177759 client 0x7f8a6b810000 IDENTIFY_FLAGS 0x10000
1534753214.177775 peer 0x7f8a6b810a00 message 101
1534753214.177791 client 0x7f8a6b810000 IDENTIFY_TERM xterm-256color
1534753214.177802 peer 0x7f8a6b810a00 message 102
1534753214.177811 client 0x7f8a6b810000 IDENTIFY_TTYNAME /dev/ttys000
1534753214.177821 peer 0x7f8a6b810a00 message 108
1534753214.177838 client 0x7f8a6b810000 IDENTIFY_CWD /Users/boomfaya/go/src/github.com/hello-operator/hello-operator
1534753214.177850 peer 0x7f8a6b810a00 message 104
1534753214.177860 client 0x7f8a6b810000 IDENTIFY_STDIN 6
1534753214.177869 peer 0x7f8a6b810a00 message 107
1534753214.177877 client 0x7f8a6b810000 IDENTIFY_CLIENTPID 53730
1534753214.177885 peer 0x7f8a6b810a00 message 105
1534753214.177899 client 0x7f8a6b810000 IDENTIFY_ENVIRON TERM_PROGRAM=Apple_Terminal
1534753214.177908 peer 0x7f8a6b810a00 message 105
1534753214.177917 client 0x7f8a6b810000 IDENTIFY_ENVIRON SHELL=/bin/bash
1534753214.177925 peer 0x7f8a6b810a00 message 105
1534753214.177935 client 0x7f8a6b810000 IDENTIFY_ENVIRON TERM=xterm-256color
1534753214.177943 peer 0x7f8a6b810a00 message 105
1534753214.177956 client 0x7f8a6b810000 IDENTIFY_ENVIRON TMPDIR=/var/folders/bd/s4sljn7971v1crx8w_ng5dw80000gn/T/
1534753214.177966 peer 0x7f8a6b810a00 message 105
1534753214.177976 client 0x7f8a6b810000 IDENTIFY_ENVIRON Apple_PubSub_Socket_Render=/private/tmp/com.apple.launchd.KwcQto41IO/Render
1534753214.177984 peer 0x7f8a6b810a00 message 105
1534753214.177994 client 0x7f8a6b810000 IDENTIFY_ENVIRON TERM_PROGRAM_VERSION=404
1534753214.178002 peer 0x7f8a6b810a00 message 105
1534753214.178012 client 0x7f8a6b810000 IDENTIFY_ENVIRON OLDPWD=/Users/boomfaya/go/src/github.com/hello-operator
1534753214.178020 peer 0x7f8a6b810a00 message 105
1534753214.178029 client 0x7f8a6b810000 IDENTIFY_ENVIRON TERM_SESSION_ID=61C5D989-F254-48DA-9F65-A63D33E0629A
1534753214.178038 peer 0x7f8a6b810a00 message 105
1534753214.178047 client 0x7f8a6b810000 IDENTIFY_ENVIRON USER=boomfaya
1534753214.178055 peer 0x7f8a6b810a00 message 105
1534753214.178064 client 0x7f8a6b810000 IDENTIFY_ENVIRON SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.xCPHqxhbIF/Listeners
1534753214.178073 peer 0x7f8a6b810a00 message 105
1534753214.178084 client 0x7f8a6b810000 IDENTIFY_ENVIRON PATH=/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/usr/local/go/bin:/usr/local/go/bin:/Users/boomfaya/go/bin:/usr/local/opt/go/libexec/bin
1534753214.178093 peer 0x7f8a6b810a00 message 105
1534753214.178103 client 0x7f8a6b810000 IDENTIFY_ENVIRON PWD=/Users/boomfaya/go/src/github.com/hello-operator/hello-operator
1534753214.178111 peer 0x7f8a6b810a00 message 105
1534753214.178120 client 0x7f8a6b810000 IDENTIFY_ENVIRON LANG=fr_FR.UTF-8
1534753214.178129 peer 0x7f8a6b810a00 message 105
1534753214.178138 client 0x7f8a6b810000 IDENTIFY_ENVIRON XPC_FLAGS=0x0
1534753214.178146 peer 0x7f8a6b810a00 message 105
1534753214.178155 client 0x7f8a6b810000 IDENTIFY_ENVIRON XPC_SERVICE_NAME=0
1534753214.178164 peer 0x7f8a6b810a00 message 105
1534753214.178173 client 0x7f8a6b810000 IDENTIFY_ENVIRON SHLVL=1
1534753214.178181 peer 0x7f8a6b810a00 message 105
1534753214.178190 client 0x7f8a6b810000 IDENTIFY_ENVIRON HOME=/Users/boomfaya
1534753214.178199 peer 0x7f8a6b810a00 message 105
1534753214.178207 client 0x7f8a6b810000 IDENTIFY_ENVIRON LOGNAME=boomfaya
1534753214.178215 peer 0x7f8a6b810a00 message 105
1534753214.178224 client 0x7f8a6b810000 IDENTIFY_ENVIRON GOPATH=/Users/boomfaya/go
1534753214.178233 peer 0x7f8a6b810a00 message 105
1534753214.178243 client 0x7f8a6b810000 IDENTIFY_ENVIRON _=/usr/local/bin/tmux
1534753214.178271 peer 0x7f8a6b810a00 message 106
1534753214.178280 client 0x7f8a6b810000 name is /dev/ttys000
1534753214.178312 tty_resize: /dev/ttys000 now 241x53
1534753214.178324 peer 0x7f8a6b810a00 message 200
1534753214.178342 cmdq_next <global>: enter
1534753214.178355 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178374 cmd_find_current_client: no target, return 0x0
1534753214.178396 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178405 cmd_find_current_client: no target, return 0x0
1534753214.178417 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178426 cmd_find_current_client: no target, return 0x0
1534753214.178438 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178447 cmd_find_current_client: no target, return 0x0
1534753214.178461 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178470 cmd_find_current_client: no target, return 0x0
1534753214.178481 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178489 cmd_find_current_client: no target, return 0x0
1534753214.178501 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178509 cmd_find_current_client: no target, return 0x0
1534753214.178520 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178528 cmd_find_current_client: no target, return 0x0
1534753214.178541 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178549 cmd_find_current_client: no target, return 0x0
1534753214.178561 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178570 cmd_find_current_client: no target, return 0x0
1534753214.178582 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178591 cmd_find_current_client: no target, return 0x0
1534753214.178602 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178611 cmd_find_current_client: no target, return 0x0
1534753214.178623 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178631 cmd_find_current_client: no target, return 0x0
1534753214.178643 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178652 cmd_find_current_client: no target, return 0x0
1534753214.178664 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178672 cmd_find_current_client: no target, return 0x0
1534753214.178683 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178691 cmd_find_current_client: no target, return 0x0
1534753214.178702 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178710 cmd_find_current_client: no target, return 0x0
1534753214.178722 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178731 cmd_find_current_client: no target, return 0x0
1534753214.178743 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178751 cmd_find_current_client: no target, return 0x0
1534753214.178763 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178772 cmd_find_current_client: no target, return 0x0
1534753214.178783 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178792 cmd_find_current_client: no target, return 0x0
1534753214.178803 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178812 cmd_find_current_client: no target, return 0x0
1534753214.178823 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178831 cmd_find_current_client: no target, return 0x0
1534753214.178842 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178851 cmd_find_current_client: no target, return 0x0
1534753214.178862 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178870 cmd_find_current_client: no target, return 0x0
1534753214.178881 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178890 cmd_find_current_client: no target, return 0x0
1534753214.178901 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178909 cmd_find_current_client: no target, return 0x0
1534753214.178920 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178928 cmd_find_current_client: no target, return 0x0
1534753214.178939 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178964 cmd_find_current_client: no target, return 0x0
1534753214.178976 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.178984 cmd_find_current_client: no target, return 0x0
1534753214.178995 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179004 cmd_find_current_client: no target, return 0x0
1534753214.179015 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179024 cmd_find_current_client: no target, return 0x0
1534753214.179036 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179045 cmd_find_current_client: no target, return 0x0
1534753214.179056 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179065 cmd_find_current_client: no target, return 0x0
1534753214.179076 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179085 cmd_find_current_client: no target, return 0x0
1534753214.179096 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179104 cmd_find_current_client: no target, return 0x0
1534753214.179115 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179123 cmd_find_current_client: no target, return 0x0
1534753214.179134 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179142 cmd_find_current_client: no target, return 0x0
1534753214.179153 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179161 cmd_find_current_client: no target, return 0x0
1534753214.179172 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179181 cmd_find_current_client: no target, return 0x0
1534753214.179191 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179199 cmd_find_current_client: no target, return 0x0
1534753214.179210 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179218 cmd_find_current_client: no target, return 0x0
1534753214.179230 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179238 cmd_find_current_client: no target, return 0x0
1534753214.179249 cmdq_next <global>: command[bind-key] (0), flags 0
1534753214.179258 cmd_find_current_client: no target, return 0x0
